store_id,party,source_store_id,source_identifier,store_name,operator_id,street_address,town,county,postcode,latitude,longitude,source,location_type,public,street_address2,street_address3,temporarily_closed,permanently_closed
CG-108230-0000,Co-operative Group,108230-0000,8230.0,Tarporley - High Street,The Co-operative Group,53 High Street,Tarporley,Cheshire West And Chester,CW6 0DP,53.1599051,-2.6686631,Co-op location-services API,Food,True,,,False,False
CG-104669-0000,Co-operative Group,104669-0000,4669.0,Borstal - Borstal Street,The Co-operative Group,142-144 Borstal Street,Rochester,Medway,ME1 3JS,51.3726023,0.483783,Co-op location-services API,Lunar,True,Borstal,,False,False
CG-107232-0000,Co-operative Group,107232-0000,7232.0,Aston - Central Drive,The Co-operative Group,21-23 Central Drive,Deeside,Flintshire,CH5 1LR,53.20368699999999,-3.0382837,Co-op location-services API,Food,True,Aston,,False,False
CG-107533-0000,Co-operative Group,107533-0000,7533.0,Maidstone - Northumberland Road,The Co-operative Group,48-49 Northumberland Court,Maidstone,Kent,ME15 7LW,51.253032,0.5459217000000001,Co-op location-services API,Food,True,Northumberland Road,,False,False
CG-106086-0000,Co-operative Group,106086-0000,6086.0,Queensferry - Chester Road,The Co-operative Group,Chester Road,Pentre,Flintshire,CH5 2DJ,53.20212789657651,-3.0135901529463838,Co-op location-services API,Food,True,,,False,False
CG-108034-0000,Co-operative Group,108034-0000,8034.0,Kidsgrove - Whitehill Road,The Co-operative Group,127 Whitehill Road,Stoke-On-Trent,Staffordshire,ST7 4DR,53.0919859,-2.2271513,Co-op location-services API,Food,True,Whitehill,,False,False
CG-105282-0000,Co-operative Group,105282-0000,5282.0,Chester - Christleton Road,The Co-operative Group,142 Christleton Road,Chester,Cheshire West And Chester,CH3 5TD,53.189739,-2.864499,Co-op location-services API,Food,True,,,False,False
CG-107451-0000,Co-operative Group,107451-0000,7451.0,Bishops Stortford - Hatfield Hth,The Co-operative Group,The Heath,Bishop's Stortford,Essex,CM22 7EB,51.8129426,0.2095339,Co-op location-services API,Food,True,Hatfield Heath,,False,False
CG-104757-0000,Co-operative Group,104757-0000,4757.0,Castle Donington - Borough Street,The Co-operative Group,35-37 Borough Street,Derby,Leicestershire,DE74 2LA,52.8421365,-1.3384301,Co-op location-services API,Lunar,True,Castle Donington,,False,False
CG-107534-0000,Co-operative Group,107534-0000,7534.0,Maidstone - Willington Street,The Co-operative Group,427 Willington Street,Maidstone,Kent,ME15 8HD,51.2476026,0.5556568,Co-op location-services API,Lunar,True,,,False,False
CG-105794-0000,Co-operative Group,105794-0000,5794.0,Hutton - Rayleigh Road,The Co-operative Group,201-205 Rayleigh Road,Brentwood,Essex,CM13 1LZ,51.6330312,0.3510906,Co-op location-services API,Food,True,Hutton,,False,False
CG-106821-0000,Co-operative Group,106821-0000,6821.0,Stanford-le-Hope - High Street,The Co-operative Group,15 High Street,Stanford-le-Hope,Thurrock,SS17 0HD,51.5151711,0.4268567,Co-op location-services API,Food,True,,,False,False
CG-104867-0000,Co-operative Group,104867-0000,4867.0,Rochester - Marley Way,The Co-operative Group,Dickens Estate,Rochester,Medway,ME1 2LQ,51.3733522,0.506204,Co-op location-services API,Food,True,Marley Way  7-11 Central Parade,,False,False
CG-105262-0000,Co-operative Group,105262-0000,5262.0,Chester - Hoole Road,The Co-operative Group,Hoole Road,Chester,Cheshire West And Chester,CH2 3NH,53.1994646,-2.8787297,Co-op location-services API,Food,True,,,False,False
CG-107887-0000,Co-operative Group,107887-0000,7887.0,Walderslade - Walderslade Road,The Co-operative Group,Walderslade Road,Chatham,Medway,ME5 9LL,51.3401214,0.5261254,Co-op location-services API,Food,True,Walderslade,,False,False
CG-104863-0000,Co-operative Group,104863-0000,4863.0,Rochester - Delce Road,The Co-operative Group,124-126 Delce Road,Rochester,Medway,ME1 2DT,51.3805314,0.5080429,Co-op location-services API,Food,True,,,False,False
CG-106625-0000,Co-operative Group,106625-0000,6625.0,Chatham - Pattens Lane,The Co-operative Group,27 Pattens Lane,Chatham,Medway,ME4 6JR,51.3665111,0.5169654,Co-op location-services API,Food,True,,,False,False
CG-156330-0000,Co-operative Group,156330-0000,6330.0,Norton Heath,The Co-operative Group,Chelmsford Rd,Ingatestone,Essex,CM4 0LQ,51.71072,0.31085,Co-op location-services API,Petrol No BWS,True,Norton Heath,,False,False
CG-106047-0000,Co-operative Group,106047-0000,6047.0,Rochester - Riverside,The Co-operative Group,Riverside,Rochester,Medway,ME1 1NH,51.390036,0.507344,Co-op location-services API,Food,True,,,False,False
CG-109951-0000,Co-operative Group,109951-0000,9951.0,Bearsted - Egremont Road,The Co-operative Group,33-37 Egremont Road,Maidstone,Kent,ME15 8LH,51.2647351,0.5643653,Co-op location-services API,Food,True,Bearsted,,False,False
CG-105814-0000,Co-operative Group,105814-0000,5814.0,Kegworth - Market Place,The Co-operative Group,9 Market Place,Derby,Leicestershire,DE74 2EE,52.8350582,-1.277499,Co-op location-services API,Food,True,Kegworth,,False,False
CG-105044-0000,Co-operative Group,105044-0000,5044.0,Alvaston - Bembridge Drive,The Co-operative Group,Bembridge Drive,Derby,Derby,DE24 0UQ,52.88672,-1.41418,Co-op location-services API,Food,True,Alvaston,,False,False
CG-105844-0000,Co-operative Group,105844-0000,5844.0,Chester - Kingsway,The Co-operative Group,99a Kingsway,Chester,Cheshire West And Chester,CH2 2LJ,53.2078311,-2.8698605,Co-op location-services API,Lunar,True,Newton,,False,False
CG-108802-0000,Co-operative Group,108802-0000,8802.0,Tarvin - Bypass Road,The Co-operative Group,2 Bye Pass Road,Chester,Cheshire West And Chester,CH3 8EF,53.1985354,-2.7652408,Co-op location-services API,Food,True,Tarvin,,False,False
CG-107336-0000,Co-operative Group,107336-0000,7336.0,Corringham - Garnder Avenue,The Co-operative Group,33-37 Gardner Avenue,Stanford-le-Hope,Thurrock,SS17 7SE,51.53061599999999,0.4452442999999999,Co-op location-services API,Food,True,Corringham,,False,False
CG-108256-0000,Co-operative Group,108256-0000,8256.0,Elworth - Middlewich Road,The Co-operative Group,216 Middlewich Road,Sandbach,Cheshire East,CW11 3EJ,53.14596139999999,-2.3854832,Co-op location-services API,Food,True,,,False,False
CG-104340-0000,Co-operative Group,104340-0000,4340.0,Wainscott - Wainscott Road,The Co-operative Group,4 Wainscott Road,Rochester,Medway,ME2 4LB,51.4124306,0.5125780999999999,Co-op location-services API,Food,True,Wainscott,,False,False
CG-109226-0000,Co-operative Group,109226-0000,9226.0,Llanfairpwllgwyngyll - Holyhead Rd,The Co-operative Group,"Llanfair P G, Holyhead Road",Anglesey,Isle Of Anglesey,LL61 5YX,53.221326,-4.2129205,Co-op location-services API,Food,True,Llanfairpwllgwyngyll,,False,False
CG-109331-0000,Co-operative Group,109331-0000,9331.0,Uppingham - North Street East,The Co-operative Group,22 North Street East,Rutland,Rutland,LE15 9QL,52.5886984,-0.7207468000000002,Co-op location-services API,Food,True,Uppingham,,False,False
CG-105170-0000,Co-operative Group,105170-0000,5170.0,Sandbach - The Hill,The Co-operative Group,The Hill,Sandbach,Cheshire East,CW11 1HT,53.14177,-2.35451,Co-op location-services API,Lunar,True,,,False,False
CG-109263-0000,Co-operative Group,109263-0000,9263.0,Elworth - Lawton Way,The Co-operative Group,Lawton Way,Sandbach,Cheshire East,CW11 1TF,53.1482624,-2.3845464,Co-op location-services API,Food,True,Elworth,,False,False
